age,income,years_experience,target
50,144915,39,0
21,130632,16,0
50,147419,0,0
31,71787,28,0
38,79582,12,1
37,104791,28,0
25,127798,5,1
24,113629,4,0
20,35782,33,1
34,96770,10,1
50,87645,8,0
29,133509,37,1
39,129724,39,1
39,61996,8,1
47,59204,7,1
55,47152,39,1
55,85186,2,0
25,137900,12,0
44,120555,18,1
44,115024,33,1
51,132659,31,0
38,49689,15,0
47,80690,35,0
50,124042,17,1
45,113251,13,1
50,87320,29,0
22,94226,1,0
36,86091,12,0
21,136565,26,1
52,109301,16,1
34,51942,30,1
45,68712,14,0
47,135430,19,1
46,95277,4,0
23,79632,6,0
52,68031,17,0
58,50478,10,1
54,52551,31,1
41,78068,26,1
46,123608,25,1
48,65561,36,1
52,32892,27,1
50,129502,1,0
38,54395,19,0
49,48756,3,1
40,146580,12,1
50,117710,23,1
20,64651,37,0
35,96333,39,1
42,103745,28,0
59,136539,35,1
48,79306,1,0
20,51346,17,0
57,143561,7,1
41,58024,14,0
49,124950,16,0
39,148768,22,0
40,70818,1,0
19,35947,5,1
44,105153,28,0
59,116240,26,0
19,124238,36,0
43,97428,33,1
34,59754,17,1
57,93355,9,0
50,88241,37,1
26,98960,16,1
56,137754,12,1
46,43418,26,1
59,125422,1,1
43,130319,33,1
52,118593,30,1
42,85184,22,0
41,34833,6,0
30,105430,37,0
24,144246,32,1
53,71833,11,0
37,30565,11,1
18,70180,18,1
25,48402,8,0
33,72845,9,0
31,105851,16,0
29,42834,39,0
40,97850,38,1
32,67180,9,0
45,33883,11,0
51,139688,14,1
19,105587,30,1
49,136520,14,1
40,41695,27,1
39,53123,3,1
42,88481,35,0
39,103438,0,0
39,141491,33,1
59,47573,16,0
23,124910,38,1
32,86494,37,0
54,42288,32,0
50,76978,20,0
25,102420,25,0
22,147845,35,0
56,106095,4,1
21,84672,32,0
23,91821,0,0
49,113661,5,0
47,99224,36,0
52,119405,1,1
57,142418,4,1
33,133673,25,1
30,84796,12,0
59,74706,11,1
47,34023,4,1
36,144286,1,1
34,112636,3,1
36,66735,26,0
45,102959,9,0
43,69218,12,0
54,42213,1,0
43,131519,25,1
40,128694,14,0
26,58460,9,0
29,94680,21,0
18,147725,39,1
18,61017,24,1
51,128536,14,1
49,122038,12,0
42,60990,7,0
57,49515,20,0
18,59991,20,0
33,37634,21,1
56,107034,32,0
22,106452,26,1
39,59377,39,1
46,63001,21,0
20,31391,29,1
29,95206,8,0
43,139388,34,0
33,72215,17,0
54,109720,4,0
39,57114,26,1
46,41882,5,1
31,143142,31,0
45,47273,7,1
22,136206,38,1
47,75647,20,1
22,112665,17,0
29,94892,13,0
33,72679,14,0
43,30427,25,1
43,126952,31,0
38,96267,38,0
56,30799,27,0
53,85659,38,0
50,124409,31,0
47,37025,12,0
54,44481,14,1
40,55411,17,0
27,126894,38,1
22,135928,5,0
53,44961,10,1
51,51767,31,1
48,81690,39,1
27,82870,19,0
36,136536,32,0
49,66135,39,1
18,94514,7,1
22,116928,34,0
21,108798,4,0
33,100765,34,0
41,53772,13,1
33,48799,20,1
19,142051,23,1
45,53555,16,1
49,122152,17,1
44,49333,33,0
37,34261,11,1
41,149833,15,1
29,99002,3,0
52,76553,24,0
50,33088,33,0
50,75783,27,1
54,31115,10,0
29,100114,12,1
20,98126,30,0
18,102908,24,1
50,99109,38,1
57,32978,9,0
27,138943,23,1
46,39422,0,0
30,73626,24,1
29,119233,27,1
48,86174,35,1
19,126356,17,0
52,67743,5,1
40,100461,1,0
34,87199,2,1
43,59430,7,1
25,58834,30,0
46,54435,18,0
43,117212,5,1
27,85797,13,1
43,73554,2,1
51,84555,0,1
58,115350,29,1
24,44716,18,1
21,90261,18,0
28,57528,8,1
46,31995,6,0
53,52414,36,1
42,43844,6,1
38,66659,8,0
53,45522,3,1
27,135449,24,1
54,104034,11,0
26,72322,5,1
41,97638,17,0
52,131334,39,1
52,38524,20,1
53,60846,14,0
35,103643,2,0
56,90096,1,1
49,144930,39,0
41,113804,3,0
40,77703,31,0
49,54399,1,1
54,105160,28,0
29,122662,1,0
30,118667,33,0
40,78591,26,0
42,50714,38,0
52,136167,37,1
58,65877,17,1
47,114106,35,1
34,108018,18,1
37,129854,26,1
42,89136,19,0
39,63414,20,0
30,116576,22,1
36,108943,29,0
53,75468,24,0
29,128841,30,0
58,109702,26,1
36,102108,33,0
29,128538,7,0
26,122508,18,1
24,76835,25,1
45,93333,27,0
31,72464,3,0
48,142454,30,1
36,52923,15,1
33,146062,9,0
22,91855,37,0
52,97445,9,1
29,140454,8,0
42,128384,38,1
38,97619,35,1
53,76146,35,1
40,90032,18,0
33,143521,18,0
56,146378,11,1
59,47140,12,1
56,32670,24,1
31,66519,35,1
48,74512,24,0
22,87811,27,1
52,133565,38,1
40,44691,29,1
46,135156,4,0
28,64262,16,1
35,84892,17,1
29,55595,20,1
26,87207,21,1
27,145589,38,1
34,63440,5,0
55,38630,15,0
24,61250,1,0
30,124334,0,1
57,138572,29,1
59,128748,36,0
26,137461,22,1
44,107518,0,0
19,104191,18,1
22,94791,2,0
46,114118,1,0
54,130591,36,1
55,93753,16,1
36,140261,27,0
25,90520,17,0
18,34008,32,1
39,74464,14,0
34,137408,21,1
24,30496,26,0
42,129767,36,1
21,53212,31,1
53,50637,18,1
23,75227,27,0
48,112413,27,1
36,149753,9,1
56,113346,19,1
44,39884,24,0
27,146481,20,1
43,98259,13,1
36,79810,21,1
56,34761,25,1
20,103166,10,1
30,46375,6,0
45,137045,16,1
37,55218,17,1
45,60565,6,0
25,132654,19,0
58,62975,37,0
56,57073,10,0
18,99726,15,1
20,31883,26,0
30,98422,10,1
45,79629,15,0
42,94170,22,0
50,104489,11,1
55,38381,39,0
23,53238,2,0
49,43795,1,1
38,125964,37,0
33,92999,23,0
38,79907,28,0
28,39638,33,1
54,100467,19,1
53,72623,17,1
52,68492,13,1
36,56411,17,1
37,140724,1,0
35,50534,0,1
58,132364,19,0
31,59181,33,1
32,133069,10,0
48,49996,26,1
18,102089,22,1
20,135682,37,0
33,113609,2,0
40,146004,11,0
28,102666,29,0
29,59405,30,1
27,131490,22,0
49,101325,0,0
33,58930,19,1
25,144426,5,0
55,47529,10,0
29,83546,34,0
41,37942,3,1
45,37548,28,0
25,145248,9,1
45,48296,28,0
53,81016,37,1
43,127780,0,1
25,30296,39,0
45,97945,7,0
45,89980,37,0
54,86782,16,0
58,64229,18,0
53,126382,32,0
44,83444,14,1
34,65036,30,1
26,145682,20,0
50,69322,2,1
37,144695,1,0
30,57167,34,0
45,81667,15,1
46,124527,20,0
30,113337,11,1
52,81468,27,0
23,102894,11,1
35,83084,32,0
22,93138,19,1
42,52588,39,1
19,92901,20,0
27,47671,38,0
47,113038,35,1
22,120664,21,0
50,61645,25,0
18,37637,6,0
35,30660,6,0
49,137211,7,0
28,36922,25,0
38,123697,23,1
43,74721,23,1
42,87256,39,0
39,147217,11,1
44,99506,7,0
30,98943,8,1
50,57843,2,0
51,39046,20,0
58,119336,30,0
52,93985,23,1
18,110083,3,0
38,133064,19,0
23,126925,15,1
45,146585,9,1
34,60346,25,0
22,118284,28,1
48,141769,4,1
22,132391,10,0
55,121384,28,0
20,83526,14,0
40,103143,5,0
54,66787,14,1
54,63583,19,0
27,42563,33,0
27,76060,1,0
36,144462,15,1
34,63690,18,0
38,141233,33,0
31,124712,13,0
26,44925,23,1
18,116787,27,0
30,113184,31,0
21,50108,36,0
18,106515,9,0
57,98258,8,1
49,35355,23,1
51,76069,35,0
45,124335,28,1
48,130854,28,1
25,84471,22,0
56,62705,26,0
43,73909,30,1
51,118606,6,0
20,146361,3,0
29,83739,13,0
18,106820,9,0
22,117273,33,1
47,53241,25,0
47,57414,22,1
34,80818,8,0
40,50895,36,0
32,122307,7,1
54,92409,13,1
38,85324,6,1
31,96920,6,1
19,83555,8,0
28,148642,2,0
56,95453,13,1
55,52689,16,0
51,94356,21,0
55,123011,25,0
51,38252,27,1
35,60844,13,1
47,125687,8,1
32,135542,25,1
44,53365,1,1
51,36026,10,1
55,128303,16,1
50,58523,33,0
41,40482,18,0
32,142105,38,1
47,78888,17,0
59,143884,12,0
34,136968,4,1
22,80110,22,0
46,120644,23,0
21,30493,28,1
27,86194,7,1
34,112001,25,0
27,69767,14,1
34,59550,0,1
37,43833,27,0
41,32970,13,1
22,128315,33,0
51,125494,30,1
23,143855,5,0
19,112681,4,1
30,131489,30,0
28,79177,36,1
40,97342,14,0
33,101200,14,1
48,91501,4,0
28,58900,27,1
33,44126,32,0
25,141198,10,0
21,100690,5,1
57,117744,22,1
21,109303,39,0
42,115579,1,1
20,77994,14,0
49,97061,22,0
20,129064,21,0
44,46978,8,0
46,86344,39,0
49,76648,29,0
36,31055,15,1
38,105582,29,0
22,131387,8,0
35,111214,0,0
45,74876,37,0
59,148363,7,0
39,122160,17,1
38,137954,26,1
23,68725,17,0
18,35255,31,0
22,104947,31,0
58,83380,35,1
29,144648,35,1
43,83333,20,0
51,72459,31,1
31,146518,30,0
43,66163,36,0
44,63971,15,1
26,126771,13,1
43,95149,23,1
39,114730,24,1
47,49476,34,1
34,98580,16,0
43,135576,3,1
53,116593,10,0
18,99050,14,1
25,105526,29,0
52,134496,23,1
32,139071,1,1
39,144832,33,0
31,37507,22,1
43,100393,30,0
45,42118,36,1
40,80529,12,0
31,98682,32,0
41,121937,6,1
19,84176,31,1
43,145481,6,1
31,121713,37,1
24,134060,12,1
20,34414,23,0
40,113030,27,1
35,115973,31,1
55,92137,17,0
52,33937,33,0
32,66731,33,1
42,116862,37,0
54,68665,0,1
45,104510,30,0
27,142681,0,0
56,47500,15,0
34,144360,38,1
56,31750,14,0
39,95018,32,1
43,34027,22,1
42,139832,33,1
34,35745,16,0
30,91731,24,1
37,116984,5,0
42,137983,30,0
21,58451,4,1
27,123743,39,1
20,101474,39,1
58,91536,29,1
35,42150,4,1
53,43406,11,0
39,49781,6,0
51,87417,12,1
25,146047,3,1
57,133157,2,1
36,48325,11,0
59,98684,0,0
58,124415,26,1
54,144547,12,1
23,103469,16,0
43,39436,7,0
51,47669,31,1
23,102010,19,1
54,142983,16,0
50,106764,33,0
39,129074,34,0
38,31843,34,0
23,95609,37,0
23,80812,23,1
21,46059,17,1
47,116269,38,0
28,70768,32,0
47,55395,22,0
48,50202,24,0
41,43273,36,1
26,78889,26,1
20,128635,0,1
48,146109,20,1
57,103048,9,0
54,123767,30,0
53,118810,24,1
41,133235,19,0
48,75510,1,1
23,117945,14,0
19,141730,27,0
37,149096,12,1
45,100649,13,0
28,136723,1,0
21,32881,33,0
32,75913,34,1
23,141860,36,0
47,114785,24,0
55,95037,14,0
19,92457,11,1
32,65343,8,0
28,92389,30,0
25,108250,13,1
43,134489,28,0
22,38656,37,0
23,35741,7,0
43,46661,2,1
21,127091,1,0
36,58690,15,0
37,62833,18,1
50,132566,29,1
37,101240,15,0
29,143659,30,0
18,136898,27,0
43,107711,3,1
31,87141,9,0
55,108232,17,1
54,69023,31,0
28,70209,29,1
53,123590,35,1
30,116612,8,1
20,110522,35,0
50,141654,28,1
23,44440,15,1
27,149107,27,0
22,37960,20,1
40,52462,1,1
27,47821,34,0
19,87772,27,1
30,57258,35,0
57,122889,30,0
19,118952,32,0
37,92524,22,1
18,52115,16,0
54,148066,0,1
26,76433,22,1
34,120504,26,1
26,118267,24,1
28,118321,31,0
32,134933,18,0
41,109364,23,1
55,100077,2,1
52,70644,11,0
47,92643,34,0
48,43311,14,0
22,60531,16,1
31,44588,31,0
28,79416,6,0
26,42380,18,0
51,72645,6,1
29,47818,4,0
52,60857,39,0
52,51711,20,0
18,35097,6,1
57,146348,36,1
39,58393,22,0
46,52076,10,1
25,114274,9,1
28,87609,20,0
58,59317,32,1
54,134765,19,0
31,88480,32,1
47,37044,39,1
52,101033,34,0
38,149237,33,0
54,85486,35,0
22,85162,26,1
36,109287,18,1
31,59882,4,1
43,84078,28,1
21,88734,9,0
42,137608,39,0
59,138730,12,0
42,73826,28,0
35,117985,4,0
57,74028,11,1
25,81331,12,1
56,149655,21,0
57,128938,39,1
31,148319,14,1
49,62543,12,1
55,59362,0,0
50,57315,37,1
40,57746,0,0
32,40057,10,1
50,141649,39,1
42,72915,21,0
34,51061,34,0
50,81370,5,0
19,64157,27,0
31,141375,30,1
57,41322,7,0
57,99812,4,0
56,107842,16,1
23,64017,37,1
23,86792,8,1
20,57742,9,0
24,127136,19,0
25,94808,13,1
59,47629,13,1
32,38245,25,1
46,126950,28,0
50,73870,26,1
47,125634,24,0
56,94829,15,0
44,144530,35,1
53,40588,33,0
46,30442,15,0
55,135280,32,0
50,132979,2,0
54,107339,22,0
44,70721,10,0
50,67145,17,1
21,40599,28,0
39,102594,4,1
19,112742,23,0
27,107430,28,1
22,32939,28,1
27,52149,25,1
50,96567,39,0
55,40208,2,0
30,96098,1,0
48,139034,24,0
53,79492,18,0
41,50951,39,0
32,78920,1,1
46,76766,18,0
25,87014,0,0
22,58351,26,0
46,114216,34,1
21,79386,4,1
29,117122,37,1
19,39308,3,1
44,89252,16,0
48,105145,20,0
53,125031,30,1
53,113211,21,1
43,58064,10,0
44,83879,33,1
22,38720,14,1
37,72940,9,1
28,109993,37,1
27,98475,31,0
57,77113,30,1
55,78926,36,0
23,68203,27,1
25,118901,30,1
40,35392,5,0
43,55905,13,0
29,103508,22,1
43,80385,15,1
30,60653,24,1
57,121865,38,0
35,114720,1,1
42,44799,37,1
50,90103,38,0
57,147463,33,1
29,45052,39,1
53,36044,24,1
21,49871,35,0
22,119303,15,1
54,142719,17,1
25,50234,12,1
59,51381,36,1
45,47274,26,0
48,142162,33,1
26,117840,10,1
46,113108,0,1
31,133948,12,1
57,79892,29,0
58,80521,4,1
39,121501,17,1
28,113920,13,0
40,113391,12,1
18,47920,31,0
54,46702,6,1
38,133457,7,0
43,31894,6,0
53,60985,15,1
40,58287,30,0
18,103527,26,0
57,45439,32,1
32,124620,28,1
38,72235,7,1
26,57659,32,1
26,54976,18,1
27,134239,20,1
43,112643,20,1
58,97865,24,1
52,137631,22,1
42,98306,10,0
43,86697,32,0
28,100382,19,0
55,46651,24,0
19,79044,25,0
24,44633,39,0
35,109164,11,0
44,30569,31,1
51,89900,32,0
44,97509,9,0
34,131126,3,0
41,149148,14,0
42,63038,5,0
24,79088,26,1
23,103177,4,0
41,104466,4,0
50,102216,17,1
46,96793,27,0
39,103786,34,1
43,68138,21,1
45,93310,33,1
38,58757,3,0
24,100394,17,0
34,136885,25,1
37,109027,21,0
58,120830,32,0
37,86151,13,1
39,140740,30,1
45,141174,9,0
57,79272,23,1
24,36908,20,1
18,40844,7,0
49,81455,31,0
30,133165,30,1
47,98447,33,0
40,104527,22,0
36,107108,24,0
49,73066,6,0
47,125229,18,0
46,70004,6,0
46,68333,7,1
47,113029,13,1
33,69697,0,1
57,47634,12,1
36,54561,2,1
35,48033,27,0
18,102887,37,0
31,85063,14,1
19,55921,35,0
45,49340,2,1
47,92781,3,0
55,44901,4,1
21,40638,25,0
18,68596,24,1
25,116914,9,0
46,74324,7,1
56,118356,11,0
20,120596,2,0
49,62642,26,1
27,55378,22,1
27,80867,39,1
36,103686,32,1
51,72875,13,1
50,148171,22,1
40,119595,30,1
45,130061,12,1
49,113729,11,0
24,94377,34,0
46,84691,17,0
25,139503,20,0
18,123337,0,1
20,94303,37,0
41,90839,8,0
40,79063,22,1
25,121782,13,0
54,108343,10,1
20,113071,6,0
50,35492,30,0
45,61357,23,1
25,101838,25,1
51,62314,29,0
52,78697,33,0
49,100283,37,0
41,89567,4,1
31,77006,4,1
49,90011,18,1
33,136706,37,1
21,40686,27,1
54,67449,25,1
38,91606,22,0
31,48891,29,1
48,82115,2,1
35,131732,27,0
24,90719,32,0
27,125464,2,1
24,103030,4,1
50,66723,18,1
40,59877,0,1
38,148393,37,0
36,123517,8,0
36,44026,4,0
53,50422,33,1
46,39244,36,0
35,63481,32,1
19,119180,24,0
18,139384,28,1
22,88031,24,1
37,38521,8,0
28,31746,2,0
59,113127,14,1
19,122254,3,0
20,145472,37,1
40,98232,19,1
29,42012,22,0
37,110224,36,0
22,53457,7,1
54,100572,36,1
55,135431,32,1
47,59960,32,1
26,132022,6,1
51,117695,21,1
52,37910,4,0
39,32693,14,0
41,145313,20,0
34,45858,24,1
27,58810,16,1
47,50092,6,0
40,118779,18,0
49,78700,6,0
34,88105,39,1
34,60505,23,1
31,103228,10,1
26,58555,0,0
57,101934,31,0
19,102788,39,0
42,107257,1,1
56,47939,14,0
26,41825,20,0
39,120787,23,1
21,132491,16,1
43,54151,8,0
46,30036,34,1
51,123948,19,0
40,113707,18,1
54,69051,17,1
28,128297,19,1
23,110738,29,1
35,103596,39,1
38,90071,0,1
59,103601,23,0
53,59873,23,0
58,66648,18,0
55,101468,29,1
51,56470,25,1
34,95129,37,0
54,38328,28,0
42,36333,12,0
55,76638,3,1
29,41268,16,0
40,100603,32,0
59,143920,4,0
39,140379,27,0
38,47045,23,1
44,70741,16,0
48,118306,38,0
23,72770,39,1
44,37887,10,1
57,128718,11,1
51,127906,12,1
29,135154,7,1
24,54918,0,0
27,65497,8,0
34,123562,27,0
43,91009,1,1
38,41929,13,0
45,143292,12,1
19,132201,1,1
18,91762,3,0
53,130473,11,1
43,109099,9,0
46,146566,2,1
38,58546,3,0
28,108424,5,1
57,67338,22,1
28,64283,4,1
53,112494,2,0
56,108170,9,1
57,114787,18,0
52,76566,13,1
51,115464,20,0
41,132781,27,1
39,111991,20,0
22,122680,35,1
50,58013,23,1
53,82132,37,1
37,117412,16,0
36,122498,21,1
52,58084,18,1
34,137855,9,1
51,51143,10,0
26,121627,37,1
43,44179,1,0
19,128343,32,0
26,88726,30,1
26,40222,34,1
57,89965,36,0
34,94068,35,0
18,53949,22,1
42,46116,35,0
57,81052,39,0
59,81369,38,1
42,78817,25,1
56,133100,24,0
52,132910,16,0
20,113203,14,1
54,104311,36,0
47,59655,3,0
55,87802,21,1
51,77632,16,0
29,44193,21,0
36,110212,16,0
54,60776,13,0
34,73225,13,1
27,90010,16,0
29,112735,7,0
33,95451,33,1
41,78812,25,0
36,110602,29,0
25,48895,21,1
48,95782,15,0
38,51209,29,0
34,134820,15,0
40,112336,37,0
54,141646,23,0
33,91807,35,0
23,53086,34,0
25,115637,5,1
42,112027,3,1
35,57207,17,1
42,137334,5,0
29,50897,25,1
32,93083,36,1
43,125028,26,1
58,96957,10,1
43,127551,37,0
49,108506,15,0
27,37283,18,0
33,124024,14,1
24,111481,25,0
34,30255,30,1
40,106555,18,0
43,45487,23,0
38,137333,8,1
39,49346,22,1
24,65050,3,0
31,38744,9,0
32,54756,8,0
24,91596,18,1
26,113397,14,1
25,55146,33,1
40,149640,18,1
46,85032,20,0
35,72687,33,1
48,76103,16,1
47,51976,17,1
56,92863,16,0
52,30591,1,0
35,36277,0,1
59,91860,9,1
56,32260,36,0
34,139443,4,0
31,95883,11,1
48,54741,35,0
41,149720,30,1
52,67211,37,0
51,139392,8,1
20,71542,25,1
54,36869,14,1
57,123618,15,1
43,117616,12,0
40,94732,24,0
56,124515,29,1
32,49422,6,0
21,65613,3,1
46,87016,39,0
39,90110,37,1
42,118529,29,0
30,107922,9,0
35,64033,29,0
50,75213,38,0
33,91993,6,1
59,42938,35,1
19,106695,34,0
52,32274,23,0
59,114390,38,0
51,61815,35,0
47,106018,19,1
30,48961,31,0
30,50044,38,0
35,129372,25,0
49,51975,25,0
49,44706,35,0
52,35974,34,0
56,106464,34,0
46,51213,11,0
46,31950,32,1
33,115013,35,0
27,40411,13,0
47,117231,32,0
42,76156,23,0
56,92744,14,1
37,47771,30,0
22,99810,16,1
18,65053,11,1
47,147894,21,1
20,82076,22,1
31,37045,25,0
47,87623,13,1
21,59714,11,1
35,64386,3,0
54,139283,12,1
42,38562,17,1
18,85048,27,1
32,123295,37,1
26,42026,18,0
32,136147,37,1
41,61589,2,0
21,138199,18,0
29,127274,19,0
54,56844,24,1
54,53447,10,1
23,120415,16,0
56,107502,34,0
41,113268,13,0
28,84708,38,0
30,93925,18,0
51,100825,2,0
42,81574,33,1
24,115548,21,1
21,48812,37,1
25,131337,26,0
37,85309,20,1
46,94230,30,0
27,71628,26,0
51,70581,36,1
43,146102,1,0
58,76628,8,1
20,118628,18,1
23,55105,35,1
22,109830,9,0
22,99157,39,0
40,62442,38,0
26,117235,6,1
52,145442,3,0
37,32347,14,1
59,125022,11,0
52,77650,5,1
35,47110,8,1
34,92170,34,0
41,34923,7,0
20,81801,6,1
49,92771,3,1
52,111147,12,0
55,78135,18,1
30,49199,6,0
42,39066,9,0
26,131583,24,1
21,82136,34,0
31,122290,24,1
54,66575,28,0
51,119796,11,1
28,76733,39,0
58,144427,11,0
20,46991,5,1
45,52553,9,0
46,119710,1,1
26,117493,24,1
20,30634,6,1
42,125417,39,1
51,42771,22,1
29,145762,10,0
59,48298,35,0
26,109876,22,0
32,128892,6,0
57,65999,26,0
42,101887,12,0
22,89648,16,0
28,92668,31,1
51,99374,25,1
41,97509,21,1
32,142650,12,0
55,133348,11,1
25,105783,6,0
22,74440,0,0
43,61655,32,0
35,73039,13,1
23,85255,16,1
54,102219,3,1
30,84989,38,0
45,41244,0,0
22,124594,23,0
30,88595,33,0
34,69551,33,1
57,93230,23,1
49,133898,14,1
46,58371,16,1
20,99358,12,0
57,58878,6,0
51,66157,8,1
57,35914,34,0
44,113700,22,0
30,57180,38,1
50,33688,22,1
23,110219,25,0
41,108616,0,1
36,126489,13,1
33,39916,31,1
57,86363,9,1
45,125213,0,1
50,57360,4,1
58,67805,2,1
30,43453,26,1
42,52703,21,1
59,89021,17,0
53,104176,15,1
44,124799,1,1
55,128385,12,1
24,134582,15,0
22,111614,7,1
48,118919,7,1
40,111072,9,0
59,146094,32,0
27,37410,30,1
49,111462,11,0
47,78268,8,0
56,64248,36,0
48,61159,8,0
35,72039,17,0
53,131902,29,1
19,77800,31,0
31,70761,39,1
30,124626,22,1
46,116103,10,1
29,148368,19,0
56,73663,18,1
19,110903,35,0
49,70412,25,1
30,148998,9,1
44,140252,23,1
58,146446,12,0
34,65367,33,1
57,35813,28,0
48,89894,35,0
51,132157,6,0
41,81444,29,1
52,64269,16,1
23,91748,12,1
36,71190,23,1
47,70318,30,0
24,67018,26,1
27,69759,20,0
58,46498,0,0
49,55989,14,1
51,132710,2,1
45,55568,5,0
32,147035,13,0
47,96577,37,1
54,135231,32,1
46,144699,37,1
39,60099,7,0
21,119900,25,0
37,70639,14,1
49,134679,13,0
53,53482,19,0
21,99212,18,0
44,85261,32,0
34,141321,35,1
29,117317,23,0
39,60048,9,1
34,33065,33,1
27,32036,35,0
18,65814,35,1
39,89694,15,1
43,46924,14,1
35,90204,17,0
31,62844,6,1
46,147755,21,0
29,144184,31,1
53,111943,18,1
52,51518,39,1
29,47059,0,1
24,53052,34,0
